BF2_CumVerse,BF2_BCV,BF2_BookIndex,BF2_BookName,BF2_Chapter,BF2_Verse,,,VF1_CumVerse,VF1_BCV,VF1_BookIndex,VF1_BookName,VF1_Chapter,VF1_Verse
384,Matthew 12:39,1,Matthew,12,39,,,874,Matthew 25:10,1,Matthew,25,10
582,Matthew 17:26,1,Matthew,17,26,,,529,Matthew 16:1,1,Matthew,16,1
1060,Matthew 28:9,1,Matthew,28,9,,,724,Matthew 21:42,1,Matthew,21,42
528,Matthew 15:39,1,Matthew,15,39,,,884,Matthew 25:20,1,Matthew,25,20
581,Matthew 17:25,1,Matthew,17,25,,,494,Matthew 15:5,1,Matthew,15,5
561,Matthew 17:5,1,Matthew,17,5,,,72,Matthew 4:7,1,Matthew,4,7
734,Matthew 22:6,1,Matthew,22,6,,,858,Matthew 24:45,1,Matthew,24,45
996,Matthew 27:11,1,Matthew,27,11,,,711,Matthew 21:29,1,Matthew,21,29
61,Matthew 3:13,1,Matthew,3,13,,,846,Matthew 24:33,1,Matthew,24,33
790,Matthew 23:16,1,Matthew,23,16,,,373,Matthew 12:28,1,Matthew,12,28
1063,Matthew 28:12,1,Matthew,28,12,,,962,Matthew 26:52,1,Matthew,26,52
661,Matthew 20:13,1,Matthew,20,13,,,795,Matthew 23:21,1,Matthew,23,21
174,Matthew 7:2,1,Matthew,7,2,,,605,Matthew 18:22,1,Matthew,18,22
576,Matthew 17:20,1,Matthew,17,20,,,1037,Matthew 27:52,1,Matthew,27,52
402,Matthew 13:7,1,Matthew,13,7,,,100,Matthew 5:10,1,Matthew,5,10
533,Matthew 16:5,1,Matthew,16,5,,,268,Matthew 9:33,1,Matthew,9,33
63,Matthew 3:15,1,Matthew,3,15,,,829,Matthew 24:16,1,Matthew,24,16
783,Matthew 23:9,1,Matthew,23,9,,,646,Matthew 19:28,1,Matthew,19,28
9,Matthew 1:9,1,Matthew,1,9,,,15,Matthew 1:15,1,Matthew,1,15
37,Matthew 2:12,1,Matthew,2,12,,,540,Matthew 16:12,1,Matthew,16,12
232,Matthew 8:31,1,Matthew,8,31,,,626,Matthew 19:8,1,Matthew,19,8
348,Matthew 12:3,1,Matthew,12,3,,,915,Matthew 26:5,1,Matthew,26,5
657,Matthew 20:9,1,Matthew,20,9,,,117,Matthew 5:27,1,Matthew,5,27
972,Matthew 26:62,1,Matthew,26,62,,,354,Matthew 12:9,1,Matthew,12,9
839,Matthew 24:26,1,Matthew,24,26,,,823,Matthew 24:10,1,Matthew,24,10
634,Matthew 19:16,1,Matthew,19,16,,,489,Matthew 14:36,1,Matthew,14,36
796,Matthew 23:22,1,Matthew,23,22,,,712,Matthew 21:30,1,Matthew,21,30
274,Matthew 10:1,1,Matthew,10,1,,,1006,Matthew 27:21,1,Matthew,27,21
390,Matthew 12:45,1,Matthew,12,45,,,741,Matthew 22:13,1,Matthew,22,13
1067,Matthew 28:16,1,Matthew,28,16,,,341,Matthew 11:26,1,Matthew,11,26
35,Matthew 2:10,1,Matthew,2,10,,,328,Matthew 11:13,1,Matthew,11,13
169,Matthew 6:31,1,Matthew,6,31,,,469,Matthew 14:16,1,Matthew,14,16
25,Matthew 1:25,1,Matthew,1,25,,,332,Matthew 11:17,1,Matthew,11,17
963,Matthew 26:53,1,Matthew,26,53,,,703,Matthew 21:21,1,Matthew,21,21
803,Matthew 23:29,1,Matthew,23,29,,,642,Matthew 19:24,1,Matthew,19,24
949,Matthew 26:39,1,Matthew,26,39,,,220,Matthew 8:19,1,Matthew,8,19
805,Matthew 23:31,1,Matthew,23,31,,,171,Matthew 6:33,1,Matthew,6,33
669,Matthew 20:21,1,Matthew,20,21,,,48,Matthew 2:23,1,Matthew,2,23
684,Matthew 21:2,1,Matthew,21,2,,,305,Matthew 10:32,1,Matthew,10,32
61,Matthew 3:13,1,Matthew,3,13,,,820,Matthew 24:7,1,Matthew,24,7
838,Matthew 24:25,1,Matthew,24,25,,,258,Matthew 9:23,1,Matthew,9,23
19,Matthew 1:19,1,Matthew,1,19,,,742,Matthew 22:14,1,Matthew,22,14
1071,Matthew 28:20,1,Matthew,28,20,,,486,Matthew 14:33,1,Matthew,14,33
233,Matthew 8:32,1,Matthew,8,32,,,265,Matthew 9:30,1,Matthew,9,30
182,Matthew 7:10,1,Matthew,7,10,,,501,Matthew 15:12,1,Matthew,15,12
176,Matthew 7:4,1,Matthew,7,4,,,400,Matthew 13:5,1,Matthew,13,5
882,Matthew 25:18,1,Matthew,25,18,,,787,Matthew 23:13,1,Matthew,23,13
92,Matthew 5:2,1,Matthew,5,2,,,577,Matthew 17:21,1,Matthew,17,21
250,Matthew 9:15,1,Matthew,9,15,,,392,Matthew 12:47,1,Matthew,12,47
409,Matthew 13:14,1,Matthew,13,14,,,478,Matthew 14:25,1,Matthew,14,25
1059,Matthew 28:8,1,Matthew,28,8,,,784,Matthew 23:10,1,Matthew,23,10
560,Matthew 17:4,1,Matthew,17,4,,,831,Matthew 24:18,1,Matthew,24,18
467,Matthew 14:14,1,Matthew,14,14,,,122,Matthew 5:32,1,Matthew,5,32
1010,Matthew 27:25,1,Matthew,27,25,,,861,Matthew 24:48,1,Matthew,24,48
476,Matthew 14:23,1,Matthew,14,23,,,116,Matthew 5:26,1,Matthew,5,26
502,Matthew 15:13,1,Matthew,15,13,,,794,Matthew 23:20,1,Matthew,23,20
151,Matthew 6:13,1,Matthew,6,13,,,163,Matthew 6:25,1,Matthew,6,25
1027,Matthew 27:42,1,Matthew,27,42,,,315,Matthew 10:42,1,Matthew,10,42
78,Matthew 4:13,1,Matthew,4,13,,,713,Matthew 21:31,1,Matthew,21,31
688,Matthew 21:6,1,Matthew,21,6,,,187,Matthew 7:15,1,Matthew,7,15
618,Matthew 18:35,1,Matthew,18,35,,,231,Matthew 8:30,1,Matthew,8,30
641,Matthew 19:23,1,Matthew,19,23,,,419,Matthew 13:24,1,Matthew,13,24
59,Matthew 3:11,1,Matthew,3,11,,,949,Matthew 26:39,1,Matthew,26,39
722,Matthew 21:40,1,Matthew,21,40,,,570,Matthew 17:14,1,Matthew,17,14
1053,Matthew 28:2,1,Matthew,28,2,,,245,Matthew 9:10,1,Matthew,9,10
1050,Matthew 27:65,1,Matthew,27,65,,,997,Matthew 27:12,1,Matthew,27,12
460,Matthew 14:7,1,Matthew,14,7,,,35,Matthew 2:10,1,Matthew,2,10
626,Matthew 19:8,1,Matthew,19,8,,,991,Matthew 27:6,1,Matthew,27,6
568,Matthew 17:12,1,Matthew,17,12,,,290,Matthew 10:17,1,Matthew,10,17
58,Matthew 3:10,1,Matthew,3,10,,,999,Matthew 27:14,1,Matthew,27,14
955,Matthew 26:45,1,Matthew,26,45,,,459,Matthew 14:6,1,Matthew,14,6
152,Matthew 6:14,1,Matthew,6,14,,,213,Matthew 8:12,1,Matthew,8,12
98,Matthew 5:8,1,Matthew,5,8,,,798,Matthew 23:24,1,Matthew,23,24
53,Matthew 3:5,1,Matthew,3,5,,,455,Matthew 14:2,1,Matthew,14,2
59,Matthew 3:11,1,Matthew,3,11,,,507,Matthew 15:18,1,Matthew,15,18
825,Matthew 24:12,1,Matthew,24,12,,,303,Matthew 10:30,1,Matthew,10,30
1020,Matthew 27:35,1,Matthew,27,35,,,84,Matthew 4:19,1,Matthew,4,19
581,Matthew 17:25,1,Matthew,17,25,,,979,Matthew 26:69,1,Matthew,26,69
900,Matthew 25:36,1,Matthew,25,36,,,481,Matthew 14:28,1,Matthew,14,28
918,Matthew 26:8,1,Matthew,26,8,,,1061,Matthew 28:10,1,Matthew,28,10
201,Matthew 7:29,1,Matthew,7,29,,,390,Matthew 12:45,1,Matthew,12,45
346,Matthew 12:1,1,Matthew,12,1,,,158,Matthew 6:20,1,Matthew,6,20
283,Matthew 10:10,1,Matthew,10,10,,,111,Matthew 5:21,1,Matthew,5,21
563,Matthew 17:7,1,Matthew,17,7,,,995,Matthew 27:10,1,Matthew,27,10
801,Matthew 23:27,1,Matthew,23,27,,,684,Matthew 21:2,1,Matthew,21,2
207,Matthew 8:6,1,Matthew,8,6,,,132,Matthew 5:42,1,Matthew,5,42
539,Matthew 16:11,1,Matthew,16,11,,,774,Matthew 22:46,1,Matthew,22,46
652,Matthew 20:4,1,Matthew,20,4,,,459,Matthew 14:6,1,Matthew,14,6
637,Matthew 19:19,1,Matthew,19,19,,,470,Matthew 14:17,1,Matthew,14,17
950,Matthew 26:40,1,Matthew,26,40,,,35,Matthew 2:10,1,Matthew,2,10
984,Matthew 26:74,1,Matthew,26,74,,,506,Matthew 15:17,1,Matthew,15,17
199,Matthew 7:27,1,Matthew,7,27,,,444,Matthew 13:49,1,Matthew,13,49
68,Matthew 4:3,1,Matthew,4,3,,,672,Matthew 20:24,1,Matthew,20,24
567,Matthew 17:11,1,Matthew,17,11,,,250,Matthew 9:15,1,Matthew,9,15
807,Matthew 23:33,1,Matthew,23,33,,,5,Matthew 1:5,1,Matthew,1,5
770,Matthew 22:42,1,Matthew,22,42,,,677,Matthew 20:29,1,Matthew,20,29
839,Matthew 24:26,1,Matthew,24,26,,,311,Matthew 10:38,1,Matthew,10,38
98,Matthew 5:8,1,Matthew,5,8,,,1025,Matthew 27:40,1,Matthew,27,40
319,Matthew 11:4,1,Matthew,11,4,,,108,Matthew 5:18,1,Matthew,5,18
278,Matthew 10:5,1,Matthew,10,5,,,826,Matthew 24:13,1,Matthew,24,13
536,Matthew 16:8,1,Matthew,16,8,,,20,Matthew 1:20,1,Matthew,1,20
30,Matthew 2:5,1,Matthew,2,5,,,70,Matthew 4:5,1,Matthew,4,5
233,Matthew 8:32,1,Matthew,8,32,,,1043,Matthew 27:58,1,Matthew,27,58
317,Matthew 11:2,1,Matthew,11,2,,,231,Matthew 8:30,1,Matthew,8,30
511,Matthew 15:22,1,Matthew,15,22,,,910,Matthew 25:46,1,Matthew,25,46
569,Matthew 17:13,1,Matthew,17,13,,,505,Matthew 15:16,1,Matthew,15,16
437,Matthew 13:42,1,Matthew,13,42,,,1039,Matthew 27:54,1,Matthew,27,54
296,Matthew 10:23,1,Matthew,10,23,,,13,Matthew 1:13,1,Matthew,1,13
150,Matthew 6:12,1,Matthew,6,12,,,266,Matthew 9:31,1,Matthew,9,31
145,Matthew 6:7,1,Matthew,6,7,,,22,Matthew 1:22,1,Matthew,1,22
650,Matthew 20:2,1,Matthew,20,2,,,236,Matthew 9:1,1,Matthew,9,1
653,Matthew 20:5,1,Matthew,20,5,,,989,Matthew 27:4,1,Matthew,27,4
714,Matthew 21:32,1,Matthew,21,32,,,851,Matthew 24:38,1,Matthew,24,38
295,Matthew 10:22,1,Matthew,10,22,,,631,Matthew 19:13,1,Matthew,19,13
59,Matthew 3:11,1,Matthew,3,11,,,500,Matthew 15:11,1,Matthew,15,11
871,Matthew 25:7,1,Matthew,25,7,,,500,Matthew 15:11,1,Matthew,15,11
619,Matthew 19:1,1,Matthew,19,1,,,916,Matthew 26:6,1,Matthew,26,6
887,Matthew 25:23,1,Matthew,25,23,,,977,Matthew 26:67,1,Matthew,26,67
408,Matthew 13:13,1,Matthew,13,13,,,694,Matthew 21:12,1,Matthew,21,12
82,Matthew 4:17,1,Matthew,4,17,,,91,Matthew 5:1,1,Matthew,5,1
193,Matthew 7:21,1,Matthew,7,21,,,1012,Matthew 27:27,1,Matthew,27,27
1065,Matthew 28:14,1,Matthew,28,14,,,663,Matthew 20:15,1,Matthew,20,15
552,Matthew 16:24,1,Matthew,16,24,,,720,Matthew 21:38,1,Matthew,21,38
1,Matthew 1:1,1,Matthew,1,1,,,1067,Matthew 28:16,1,Matthew,28,16
561,Matthew 17:5,1,Matthew,17,5,,,555,Matthew 16:27,1,Matthew,16,27
76,Matthew 4:11,1,Matthew,4,11,,,357,Matthew 12:12,1,Matthew,12,12
812,Matthew 23:38,1,Matthew,23,38,,,85,Matthew 4:20,1,Matthew,4,20
479,Matthew 14:26,1,Matthew,14,26,,,980,Matthew 26:70,1,Matthew,26,70
846,Matthew 24:33,1,Matthew,24,33,,,582,Matthew 17:26,1,Matthew,17,26
11,Matthew 1:11,1,Matthew,1,11,,,485,Matthew 14:32,1,Matthew,14,32
892,Matthew 25:28,1,Matthew,25,28,,,605,Matthew 18:22,1,Matthew,18,22
1054,Matthew 28:3,1,Matthew,28,3,,,936,Matthew 26:26,1,Matthew,26,26
247,Matthew 9:12,1,Matthew,9,12,,,307,Matthew 10:34,1,Matthew,10,34
733,Matthew 22:5,1,Matthew,22,5,,,707,Matthew 21:25,1,Matthew,21,25
794,Matthew 23:20,1,Matthew,23,20,,,638,Matthew 19:20,1,Matthew,19,20
967,Matthew 26:57,1,Matthew,26,57,,,64,Matthew 3:16,1,Matthew,3,16
24,Matthew 1:24,1,Matthew,1,24,,,962,Matthew 26:52,1,Matthew,26,52
74,Matthew 4:9,1,Matthew,4,9,,,627,Matthew 19:9,1,Matthew,19,9
1038,Matthew 27:53,1,Matthew,27,53,,,261,Matthew 9:26,1,Matthew,9,26
573,Matthew 17:17,1,Matthew,17,17,,,225,Matthew 8:24,1,Matthew,8,24
624,Matthew 19:6,1,Matthew,19,6,,,754,Matthew 22:26,1,Matthew,22,26
422,Matthew 13:27,1,Matthew,13,27,,,455,Matthew 14:2,1,Matthew,14,2
179,Matthew 7:7,1,Matthew,7,7,,,878,Matthew 25:14,1,Matthew,25,14
582,Matthew 17:26,1,Matthew,17,26,,,315,Matthew 10:42,1,Matthew,10,42
719,Matthew 21:37,1,Matthew,21,37,,,965,Matthew 26:55,1,Matthew,26,55
233,Matthew 8:32,1,Matthew,8,32,,,500,Matthew 15:11,1,Matthew,15,11
298,Matthew 10:25,1,Matthew,10,25,,,869,Matthew 25:5,1,Matthew,25,5
101,Matthew 5:11,1,Matthew,5,11,,,1034,Matthew 27:49,1,Matthew,27,49
722,Matthew 21:40,1,Matthew,21,40,,,800,Matthew 23:26,1,Matthew,23,26
624,Matthew 19:6,1,Matthew,19,6,,,216,Matthew 8:15,1,Matthew,8,15
201,Matthew 7:29,1,Matthew,7,29,,,382,Matthew 12:37,1,Matthew,12,37
620,Matthew 19:2,1,Matthew,19,2,,,969,Matthew 26:59,1,Matthew,26,59
493,Matthew 15:4,1,Matthew,15,4,,,454,Matthew 14:1,1,Matthew,14,1
103,Matthew 5:13,1,Matthew,5,13,,,486,Matthew 14:33,1,Matthew,14,33
729,Matthew 22:1,1,Matthew,22,1,,,674,Matthew 20:26,1,Matthew,20,26
698,Matthew 21:16,1,Matthew,21,16,,,479,Matthew 14:26,1,Matthew,14,26
455,Matthew 14:2,1,Matthew,14,2,,,900,Matthew 25:36,1,Matthew,25,36
392,Matthew 12:47,1,Matthew,12,47,,,550,Matthew 16:22,1,Matthew,16,22
28,Matthew 2:3,1,Matthew,2,3,,,104,Matthew 5:14,1,Matthew,5,14
660,Matthew 20:12,1,Matthew,20,12,,,1057,Matthew 28:6,1,Matthew,28,6
804,Matthew 23:30,1,Matthew,23,30,,,966,Matthew 26:56,1,Matthew,26,56
423,Matthew 13:28,1,Matthew,13,28,,,962,Matthew 26:52,1,Matthew,26,52
288,Matthew 10:15,1,Matthew,10,15,,,269,Matthew 9:34,1,Matthew,9,34
608,Matthew 18:25,1,Matthew,18,25,,,452,Matthew 13:57,1,Matthew,13,57
55,Matthew 3:7,1,Matthew,3,7,,,1051,Matthew 27:66,1,Matthew,27,66
179,Matthew 7:7,1,Matthew,7,7,,,403,Matthew 13:8,1,Matthew,13,8
15,Matthew 1:15,1,Matthew,1,15,,,670,Matthew 20:22,1,Matthew,20,22
167,Matthew 6:29,1,Matthew,6,29,,,1059,Matthew 28:8,1,Matthew,28,8
640,Matthew 19:22,1,Matthew,19,22,,,931,Matthew 26:21,1,Matthew,26,21
562,Matthew 17:6,1,Matthew,17,6,,,75,Matthew 4:10,1,Matthew,4,10
240,Matthew 9:5,1,Matthew,9,5,,,323,Matthew 11:8,1,Matthew,11,8
1067,Matthew 28:16,1,Matthew,28,16,,,129,Matthew 5:39,1,Matthew,5,39
1019,Matthew 27:34,1,Matthew,27,34,,,7,Matthew 1:7,1,Matthew,1,7
45,Matthew 2:20,1,Matthew,2,20,,,621,Matthew 19:3,1,Matthew,19,3
1028,Matthew 27:43,1,Matthew,27,43,,,929,Matthew 26:19,1,Matthew,26,19
813,Matthew 23:39,1,Matthew,23,39,,,283,Matthew 10:10,1,Matthew,10,10
673,Matthew 20:25,1,Matthew,20,25,,,942,Matthew 26:32,1,Matthew,26,32
761,Matthew 22:33,1,Matthew,22,33,,,212,Matthew 8:11,1,Matthew,8,11
80,Matthew 4:15,1,Matthew,4,15,,,859,Matthew 24:46,1,Matthew,24,46
556,Matthew 16:28,1,Matthew,16,28,,,661,Matthew 20:13,1,Matthew,20,13
262,Matthew 9:27,1,Matthew,9,27,,,842,Matthew 24:29,1,Matthew,24,29
229,Matthew 8:28,1,Matthew,8,28,,,662,Matthew 20:14,1,Matthew,20,14
613,Matthew 18:30,1,Matthew,18,30,,,386,Matthew 12:41,1,Matthew,12,41
63,Matthew 3:15,1,Matthew,3,15,,,782,Matthew 23:8,1,Matthew,23,8
326,Matthew 11:11,1,Matthew,11,11,,,236,Matthew 9:1,1,Matthew,9,1
376,Matthew 12:31,1,Matthew,12,31,,,672,Matthew 20:24,1,Matthew,20,24
363,Matthew 12:18,1,Matthew,12,18,,,507,Matthew 15:18,1,Matthew,15,18
302,Matthew 10:29,1,Matthew,10,29,,,833,Matthew 24:20,1,Matthew,24,20
574,Matthew 17:18,1,Matthew,17,18,,,645,Matthew 19:27,1,Matthew,19,27
162,Matthew 6:24,1,Matthew,6,24,,,600,Matthew 18:17,1,Matthew,18,17
472,Matthew 14:19,1,Matthew,14,19,,,757,Matthew 22:29,1,Matthew,22,29
658,Matthew 20:10,1,Matthew,20,10,,,944,Matthew 26:34,1,Matthew,26,34
635,Matthew 19:17,1,Matthew,19,17,,,263,Matthew 9:28,1,Matthew,9,28
545,Matthew 16:17,1,Matthew,16,17,,,383,Matthew 12:38,1,Matthew,12,38
326,Matthew 11:11,1,Matthew,11,11,,,485,Matthew 14:32,1,Matthew,14,32
300,Matthew 10:27,1,Matthew,10,27,,,42,Matthew 2:17,1,Matthew,2,17
647,Matthew 19:29,1,Matthew,19,29,,,535,Matthew 16:7,1,Matthew,16,7
357,Matthew 12:12,1,Matthew,12,12,,,516,Matthew 15:27,1,Matthew,15,27
505,Matthew 15:16,1,Matthew,15,16,,,120,Matthew 5:30,1,Matthew,5,30
571,Matthew 17:15,1,Matthew,17,15,,,214,Matthew 8:13,1,Matthew,8,13
59,Matthew 3:11,1,Matthew,3,11,,,1056,Matthew 28:5,1,Matthew,28,5
385,Matthew 12:40,1,Matthew,12,40,,,193,Matthew 7:21,1,Matthew,7,21
468,Matthew 14:15,1,Matthew,14,15,,,585,Matthew 18:2,1,Matthew,18,2
371,Matthew 12:26,1,Matthew,12,26,,,877,Matthew 25:13,1,Matthew,25,13
1059,Matthew 28:8,1,Matthew,28,8,,,112,Matthew 5:22,1,Matthew,5,22
605,Matthew 18:22,1,Matthew,18,22,,,509,Matthew 15:20,1,Matthew,15,20
