BF2_CumVerse,BF2_BCV,BF2_BookIndex,BF2_BookName,BF2_Chapter,BF2_Verse
7510,2 John 1:10,24,2 John,1,10
7354,2 Peter 1:20,22,2 Peter,1,20
5103,Romans 12:3,6,Romans,12,3
7507,2 John 1:7,24,2 John,1,7
5217,Romans 16:26,6,Romans,16,26
4420,Acts 18:8,5,Acts,18,8
1899,Luke 3:18,3,Luke,3,18
5934,Galatians 1:22,9,Galatians,1,22
6554,1 Timothy 1:3,15,1 Timothy,1,3
7524,3 John 1:11,25,3 John,1,11
7465,1 John 4:7,23,1 John,4,7
2592,Luke 19:5,3,Luke,19,5
6600,1 Timothy 3:14,15,1 Timothy,3,14
5981,Galatians 3:24,9,Galatians,3,24
7515,3 John 1:2,25,3 John,1,2
6945,Hebrews 7:26,19,Hebrews,7,26
7511,2 John 1:11,24,2 John,1,11
7549,Jude 1:21,26,Jude,1,21
7809,Revelation 15:7,27,Revelation,15,7
7545,Jude 1:17,26,Jude,1,17
6566,1 Timothy 1:15,15,1 Timothy,1,15
7456,1 John 3:22,23,1 John,3,22
7698,Revelation 9:2,27,Revelation,9,2
6706,2 Timothy 2:24,16,2 Timothy,2,24
6509,2 Thessalonians 1:5,14,2 Thessalonians,1,5
384,Matthew 12:39,1,Matthew,12,39
7501,2 John 1:1,24,2 John,1,1
5264,1 Corinthians 2:15,7,1 Corinthians,2,15
7254,1 Peter 1:25,21,1 Peter,1,25
7332,1 Peter 5:12,21,1 Peter,5,12
4951,Romans 7:5,6,Romans,7,5
6501,1 Thessalonians 5:25,13,1 Thessalonians,5,25
7378,2 Peter 3:1,22,2 Peter,3,1
6659,1 Timothy 6:16,15,1 Timothy,6,16
6307,Philippians 4:10,11,Philippians,4,10
6149,Ephesians 4:22,10,Ephesians,4,22
2992,John 3:17,4,John,3,17
7350,2 Peter 1:16,22,2 Peter,1,16
7291,1 Peter 3:12,21,1 Peter,3,12
7303,1 Peter 4:2,21,1 Peter,4,2
6769,Titus 2:6,17,Titus,2,6
1328,Mark 7:9,2,Mark,7,9
7808,Revelation 15:6,27,Revelation,15,6
6653,1 Timothy 6:10,15,1 Timothy,6,10
1049,Matthew 27:64,1,Matthew,27,64
6771,Titus 2:8,17,Titus,2,8
6528,2 Thessalonians 2:12,14,2 Thessalonians,2,12
3052,John 4:41,4,John,4,41
7527,3 John 1:14,25,3 John,1,14
6395,Colossians 3:23,12,Colossians,3,23
6698,2 Timothy 2:16,16,2 Timothy,2,16
7370,2 Peter 2:15,22,2 Peter,2,15
6615,1 Timothy 4:13,15,1 Timothy,4,13
6370,Colossians 2:21,12,Colossians,2,21
1927,Luke 4:8,3,Luke,4,8
6608,1 Timothy 4:6,15,1 Timothy,4,6
5303,1 Corinthians 4:15,7,1 Corinthians,4,15
7525,3 John 1:12,25,3 John,1,12
6761,Titus 1:14,17,Titus,1,14
7489,1 John 5:10,23,1 John,5,10
7522,3 John 1:9,25,3 John,1,9
6731,2 Timothy 4:6,16,2 Timothy,4,6
6777,Titus 2:14,17,Titus,2,14
7243,1 Peter 1:14,21,1 Peter,1,14
7300,1 Peter 3:21,21,1 Peter,3,21
5690,2 Corinthians 2:11,8,2 Corinthians,2,11
6418,1 Thessalonians 1:3,13,1 Thessalonians,1,3
6596,1 Timothy 3:10,15,1 Timothy,3,10
5845,2 Corinthians 11:1,8,2 Corinthians,11,1
1975,Luke 5:12,3,Luke,5,12
6425,1 Thessalonians 1:10,13,1 Thessalonians,1,10
3793,Acts 1:15,5,Acts,1,15
6684,2 Timothy 2:2,16,2 Timothy,2,2
3157,John 6:45,4,John,6,45
1747,Mark 16:18,2,Mark,16,18
6019,Galatians 5:2,9,Galatians,5,2
6561,1 Timothy 1:10,15,1 Timothy,1,10
6451,1 Thessalonians 3:6,13,1 Thessalonians,3,6
3707,John 19:27,4,John,19,27
7535,Jude 1:7,26,Jude,1,7
6787,Titus 3:9,17,Titus,3,9
6350,Colossians 2:1,12,Colossians,2,1
7383,2 Peter 3:6,22,2 Peter,3,6
6161,Ephesians 5:2,10,Ephesians,5,2
6901,Hebrews 6:2,19,Hebrews,6,2
200,Matthew 7:28,1,Matthew,7,28
7460,1 John 4:2,23,1 John,4,2
1319,Mark 6:56,2,Mark,6,56
6823,Hebrews 1:5,19,Hebrews,1,5
6409,Colossians 4:12,12,Colossians,4,12
6163,Ephesians 5:4,10,Ephesians,5,4
5858,2 Corinthians 11:14,8,2 Corinthians,11,14
7539,Jude 1:11,26,Jude,1,11
2,Matthew 1:2,1,Matthew,1,2
1541,Mark 12:12,2,Mark,12,12
6828,Hebrews 1:10,19,Hebrews,1,10
6248,Philippians 2:2,11,Philippians,2,2
4368,Acts 16:30,5,Acts,16,30
5745,2 Corinthians 5:13,8,2 Corinthians,5,13
7388,2 Peter 3:11,22,2 Peter,3,11
2682,Luke 20:47,3,Luke,20,47
5943,Galatians 2:7,9,Galatians,2,7
6363,Colossians 2:14,12,Colossians,2,14
7350,2 Peter 1:16,22,2 Peter,1,16
6860,Hebrews 3:10,19,Hebrews,3,10
6364,Colossians 2:15,12,Colossians,2,15
6791,Titus 3:13,17,Titus,3,13
6291,Philippians 3:15,11,Philippians,3,15
5938,Galatians 2:2,9,Galatians,2,2
5084,Romans 11:20,6,Romans,11,20
811,Matthew 23:37,1,Matthew,23,37
6795,Philemon 1:2,18,Philemon,1,2
5186,Romans 15:28,6,Romans,15,28
5498,1 Corinthians 12:9,7,1 Corinthians,12,9
7356,2 Peter 2:1,22,2 Peter,2,1
6193,Ephesians 6:1,10,Ephesians,6,1
6394,Colossians 3:22,12,Colossians,3,22
7230,1 Peter 1:1,21,1 Peter,1,1
5938,Galatians 2:2,9,Galatians,2,2
4763,Acts 28:9,5,Acts,28,9
6786,Titus 3:8,17,Titus,3,8
2604,Luke 19:17,3,Luke,19,17
7523,3 John 1:10,25,3 John,1,10
7302,1 Peter 4:1,21,1 Peter,4,1
3352,John 10:16,4,John,10,16
6234,Philippians 1:18,11,Philippians,1,18
7532,Jude 1:4,26,Jude,1,4
5886,2 Corinthians 12:9,8,2 Corinthians,12,9
5078,Romans 11:14,6,Romans,11,14
6273,Philippians 2:27,11,Philippians,2,27
7373,2 Peter 2:18,22,2 Peter,2,18
7545,Jude 1:17,26,Jude,1,17
4856,Romans 3:10,6,Romans,3,10
5031,Romans 9:21,6,Romans,9,21
7459,1 John 4:1,23,1 John,4,1
4953,Romans 7:7,6,Romans,7,7
7439,1 John 3:5,23,1 John,3,5
1581,Mark 13:8,2,Mark,13,8
7503,2 John 1:3,24,2 John,1,3
7530,Jude 1:2,26,Jude,1,2
7263,1 Peter 2:9,21,1 Peter,2,9
6787,Titus 3:9,17,Titus,3,9
3956,Acts 5:42,5,Acts,5,42
6402,Colossians 4:5,12,Colossians,4,5
257,Matthew 9:22,1,Matthew,9,22
1484,Mark 10:40,2,Mark,10,40
6468,1 Thessalonians 4:10,13,1 Thessalonians,4,10
6717,2 Timothy 3:9,16,2 Timothy,3,9
1451,Mark 10:7,2,Mark,10,7
5322,1 Corinthians 5:13,7,1 Corinthians,5,13
6517,2 Thessalonians 2:1,14,2 Thessalonians,2,1
5787,2 Corinthians 7:16,8,2 Corinthians,7,16
6770,Titus 2:7,17,Titus,2,7
2749,Luke 22:29,3,Luke,22,29
4123,Acts 10:9,5,Acts,10,9
7548,Jude 1:20,26,Jude,1,20
7291,1 Peter 3:12,21,1 Peter,3,12
7342,2 Peter 1:8,22,2 Peter,1,8
6615,1 Timothy 4:13,15,1 Timothy,4,13
7619,Revelation 3:17,27,Revelation,3,17
7536,Jude 1:8,26,Jude,1,8
6505,2 Thessalonians 1:1,14,2 Thessalonians,1,1
7511,2 John 1:11,24,2 John,1,11
6571,1 Timothy 1:20,15,1 Timothy,1,20
7584,Revelation 2:11,27,Revelation,2,11
6424,1 Thessalonians 1:9,13,1 Thessalonians,1,9
6065,Ephesians 1:4,10,Ephesians,1,4
5015,Romans 9:5,6,Romans,9,5
7519,3 John 1:6,25,3 John,1,6
7517,3 John 1:4,25,3 John,1,4
6530,2 Thessalonians 2:14,14,2 Thessalonians,2,14
5937,Galatians 2:1,9,Galatians,2,1
6723,2 Timothy 3:15,16,2 Timothy,3,15
6746,2 Timothy 4:21,16,2 Timothy,4,21
5822,2 Corinthians 9:11,8,2 Corinthians,9,11
6660,1 Timothy 6:17,15,1 Timothy,6,17
6197,Ephesians 6:5,10,Ephesians,6,5
1321,Mark 7:2,2,Mark,7,2
7550,Jude 1:22,26,Jude,1,22
5100,Romans 11:36,6,Romans,11,36
6333,Colossians 1:13,12,Colossians,1,13
5778,2 Corinthians 7:7,8,2 Corinthians,7,7
153,Matthew 6:15,1,Matthew,6,15
3400,John 11:22,4,John,11,22
6771,Titus 2:8,17,Titus,2,8
7381,2 Peter 3:4,22,2 Peter,3,4
7532,Jude 1:4,26,Jude,1,4
5546,1 Corinthians 14:13,7,1 Corinthians,14,13
5918,Galatians 1:6,9,Galatians,1,6
4533,Acts 21:14,5,Acts,21,14
6271,Philippians 2:25,11,Philippians,2,25
6709,2 Timothy 3:1,16,2 Timothy,3,1
7550,Jude 1:22,26,Jude,1,22
7541,Jude 1:13,26,Jude,1,13
38,Matthew 2:13,1,Matthew,2,13
5065,Romans 11:1,6,Romans,11,1
7535,Jude 1:7,26,Jude,1,7
7309,1 Peter 4:8,21,1 Peter,4,8
7508,2 John 1:8,24,2 John,1,8
7515,3 John 1:2,25,3 John,1,2
6413,Colossians 4:16,12,Colossians,4,16
5735,2 Corinthians 5:3,8,2 Corinthians,5,3
1403,Mark 9:9,2,Mark,9,9
7519,3 John 1:6,25,3 John,1,6
6570,1 Timothy 1:19,15,1 Timothy,1,19
7304,1 Peter 4:3,21,1 Peter,4,3
5710,2 Corinthians 3:14,8,2 Corinthians,3,14
624,Matthew 19:6,1,Matthew,19,6
6026,Galatians 5:9,9,Galatians,5,9
7533,Jude 1:5,26,Jude,1,5
7528,3 John 1:15,25,3 John,1,15
6737,2 Timothy 4:12,16,2 Timothy,4,12
323,Matthew 11:8,1,Matthew,11,8
2394,Luke 13:20,3,Luke,13,20
6218,Philippians 1:2,11,Philippians,1,2
7228,James 5:19,20,James,5,19
5992,Galatians 4:6,9,Galatians,4,6
7499,1 John 5:20,23,1 John,5,20
7677,Revelation 7:11,27,Revelation,7,11
7675,Revelation 7:9,27,Revelation,7,9
6197,Ephesians 6:5,10,Ephesians,6,5
6536,2 Thessalonians 3:3,14,2 Thessalonians,3,3
7320,1 Peter 4:19,21,1 Peter,4,19
4858,Romans 3:12,6,Romans,3,12
6955,Hebrews 8:8,19,Hebrews,8,8
7273,1 Peter 2:19,21,1 Peter,2,19
7253,1 Peter 1:24,21,1 Peter,1,24
6507,2 Thessalonians 1:3,14,2 Thessalonians,1,3
4813,Romans 1:28,6,Romans,1,28
5875,2 Corinthians 11:31,8,2 Corinthians,11,31
6078,Ephesians 1:17,10,Ephesians,1,17
3490,John 13:5,4,John,13,5
6843,Hebrews 2:11,19,Hebrews,2,11
7521,3 John 1:8,25,3 John,1,8
6806,Philemon 1:13,18,Philemon,1,13
6654,1 Timothy 6:11,15,1 Timothy,6,11
3634,John 17:20,4,John,17,20
7511,2 John 1:11,24,2 John,1,11
3682,John 19:2,4,John,19,2
1625,Mark 14:15,2,Mark,14,15
6296,Philippians 3:20,11,Philippians,3,20
6527,2 Thessalonians 2:11,14,2 Thessalonians,2,11
7515,3 John 1:2,25,3 John,1,2
1646,Mark 14:36,2,Mark,14,36
5691,2 Corinthians 2:12,8,2 Corinthians,2,12
7324,1 Peter 5:4,21,1 Peter,5,4
7385,2 Peter 3:8,22,2 Peter,3,8
6777,Titus 2:14,17,Titus,2,14
6152,Ephesians 4:25,10,Ephesians,4,25
7353,2 Peter 1:19,22,2 Peter,1,19
6128,Ephesians 4:1,10,Ephesians,4,1
7548,Jude 1:20,26,Jude,1,20
7398,1 John 1:3,23,1 John,1,3
5666,2 Corinthians 1:11,8,2 Corinthians,1,11
6398,Colossians 4:1,12,Colossians,4,1
5965,Galatians 3:8,9,Galatians,3,8
7507,2 John 1:7,24,2 John,1,7
3963,Acts 6:7,5,Acts,6,7
6520,2 Thessalonians 2:4,14,2 Thessalonians,2,4
1707,Mark 15:25,2,Mark,15,25
7702,Revelation 9:6,27,Revelation,9,6
7298,1 Peter 3:19,21,1 Peter,3,19
6149,Ephesians 4:22,10,Ephesians,4,22
683,Matthew 21:1,1,Matthew,21,1
7469,1 John 4:11,23,1 John,4,11
4405,Acts 17:27,5,Acts,17,27
6994,Hebrews 10:6,19,Hebrews,10,6
5812,2 Corinthians 9:1,8,2 Corinthians,9,1
7503,2 John 1:3,24,2 John,1,3
5601,1 Corinthians 15:28,7,1 Corinthians,15,28
6401,Colossians 4:4,12,Colossians,4,4
7278,1 Peter 2:24,21,1 Peter,2,24
55,Matthew 3:7,1,Matthew,3,7
7572,Revelation 1:19,27,Revelation,1,19
5793,2 Corinthians 8:6,8,2 Corinthians,8,6
7451,1 John 3:17,23,1 John,3,17
6560,1 Timothy 1:9,15,1 Timothy,1,9
4009,Acts 7:38,5,Acts,7,38
7478,1 John 4:20,23,1 John,4,20
6424,1 Thessalonians 1:9,13,1 Thessalonians,1,9
6814,Philemon 1:21,18,Philemon,1,21
6714,2 Timothy 3:6,16,2 Timothy,3,6
7247,1 Peter 1:18,21,1 Peter,1,18
7453,1 John 3:19,23,1 John,3,19
3072,John 5:7,4,John,5,7
6818,Philemon 1:25,18,Philemon,1,25
7188,James 3:14,20,James,3,14
5241,1 Corinthians 1:23,7,1 Corinthians,1,23
7507,2 John 1:7,24,2 John,1,7
6205,Ephesians 6:13,10,Ephesians,6,13
793,Matthew 23:19,1,Matthew,23,19
7538,Jude 1:10,26,Jude,1,10
5971,Galatians 3:14,9,Galatians,3,14
6097,Ephesians 2:13,10,Ephesians,2,13
1144,Mark 2:28,2,Mark,2,28
7520,3 John 1:7,25,3 John,1,7
6595,1 Timothy 3:9,15,1 Timothy,3,9
5984,Galatians 3:27,9,Galatians,3,27
6398,Colossians 4:1,12,Colossians,4,1
7367,2 Peter 2:12,22,2 Peter,2,12
7526,3 John 1:13,25,3 John,1,13
7526,3 John 1:13,25,3 John,1,13
6048,Galatians 6:5,9,Galatians,6,5
6309,Philippians 4:12,11,Philippians,4,12
6373,Colossians 3:1,12,Colossians,3,1
6245,Philippians 1:29,11,Philippians,1,29
7510,2 John 1:10,24,2 John,1,10
6602,1 Timothy 3:16,15,1 Timothy,3,16
7540,Jude 1:12,26,Jude,1,12
2446,Luke 15:2,3,Luke,15,2
7266,1 Peter 2:12,21,1 Peter,2,12
224,Matthew 8:23,1,Matthew,8,23
5634,1 Corinthians 16:3,7,1 Corinthians,16,3
7507,2 John 1:7,24,2 John,1,7
5298,1 Corinthians 4:10,7,1 Corinthians,4,10
6205,Ephesians 6:13,10,Ephesians,6,13
6935,Hebrews 7:16,19,Hebrews,7,16
3894,Acts 4:17,5,Acts,4,17
7405,1 John 1:10,23,1 John,1,10
6389,Colossians 3:17,12,Colossians,3,17
6628,1 Timothy 5:10,15,1 Timothy,5,10
3260,John 8:24,4,John,8,24
5132,Romans 13:11,6,Romans,13,11
7420,1 John 2:15,23,1 John,2,15
5305,1 Corinthians 4:17,7,1 Corinthians,4,17
1191,Mark 4:12,2,Mark,4,12
7508,2 John 1:8,24,2 John,1,8
5732,2 Corinthians 4:18,8,2 Corinthians,4,18
7517,3 John 1:4,25,3 John,1,4
5562,1 Corinthians 14:29,7,1 Corinthians,14,29
53,Matthew 3:5,1,Matthew,3,5
7432,1 John 2:27,23,1 John,2,27
7507,2 John 1:7,24,2 John,1,7
6519,2 Thessalonians 2:3,14,2 Thessalonians,2,3
7506,2 John 1:6,24,2 John,1,6
7503,2 John 1:3,24,2 John,1,3
7377,2 Peter 2:22,22,2 Peter,2,22
7503,2 John 1:3,24,2 John,1,3
1100,Mark 1:29,2,Mark,1,29
1507,Mark 11:11,2,Mark,11,11
7549,Jude 1:21,26,Jude,1,21
6735,2 Timothy 4:10,16,2 Timothy,4,10
6311,Philippians 4:14,11,Philippians,4,14
1417,Mark 9:23,2,Mark,9,23
6459,1 Thessalonians 4:1,13,1 Thessalonians,4,1
5122,Romans 13:1,6,Romans,13,1
7804,Revelation 15:2,27,Revelation,15,2
6471,1 Thessalonians 4:13,13,1 Thessalonians,4,13
4832,Romans 2:15,6,Romans,2,15
2984,John 3:9,4,John,3,9
6081,Ephesians 1:20,10,Ephesians,1,20
7539,Jude 1:11,26,Jude,1,11
5926,Galatians 1:14,9,Galatians,1,14
4490,Acts 20:9,5,Acts,20,9
6803,Philemon 1:10,18,Philemon,1,10
6449,1 Thessalonians 3:4,13,1 Thessalonians,3,4
6577,1 Timothy 2:6,15,1 Timothy,2,6
5944,Galatians 2:8,9,Galatians,2,8
2930,John 1:31,4,John,1,31
6403,Colossians 4:6,12,Colossians,4,6
6777,Titus 2:14,17,Titus,2,14
6316,Philippians 4:19,11,Philippians,4,19
6027,Galatians 5:10,9,Galatians,5,10
5974,Galatians 3:17,9,Galatians,3,17
6091,Ephesians 2:7,10,Ephesians,2,7
7393,2 Peter 3:16,22,2 Peter,3,16
7545,Jude 1:17,26,Jude,1,17
3279,John 8:43,4,John,8,43
6753,Titus 1:6,17,Titus,1,6
7334,1 Peter 5:14,21,1 Peter,5,14
7235,1 Peter 1:6,21,1 Peter,1,6
6587,1 Timothy 3:1,15,1 Timothy,3,1
6796,Philemon 1:3,18,Philemon,1,3
6679,2 Timothy 1:15,16,2 Timothy,1,15
6531,2 Thessalonians 2:15,14,2 Thessalonians,2,15
3117,John 6:5,4,John,6,5
6950,Hebrews 8:3,19,Hebrews,8,3
5507,1 Corinthians 12:18,7,1 Corinthians,12,18
7502,2 John 1:2,24,2 John,1,2
7380,2 Peter 3:3,22,2 Peter,3,3
7505,2 John 1:5,24,2 John,1,5
7216,James 5:7,20,James,5,7
7136,James 1:15,20,James,1,15
7513,2 John 1:13,24,2 John,1,13
6040,Galatians 5:23,9,Galatians,5,23
6937,Hebrews 7:18,19,Hebrews,7,18
6502,1 Thessalonians 5:26,13,1 Thessalonians,5,26
4642,Acts 24:18,5,Acts,24,18
5084,Romans 11:20,6,Romans,11,20
7531,Jude 1:3,26,Jude,1,3
205,Matthew 8:4,1,Matthew,8,4
2424,Luke 14:15,3,Luke,14,15
6734,2 Timothy 4:9,16,2 Timothy,4,9
7488,1 John 5:9,23,1 John,5,9
6804,Philemon 1:11,18,Philemon,1,11
6852,Hebrews 3:2,19,Hebrews,3,2
4773,Acts 28:19,5,Acts,28,19
2685,Luke 21:3,3,Luke,21,3
1399,Mark 9:5,2,Mark,9,5
3417,John 11:39,4,John,11,39
7234,1 Peter 1:5,21,1 Peter,1,5
7376,2 Peter 2:21,22,2 Peter,2,21
7627,Revelation 4:3,27,Revelation,4,3
7784,Revelation 14:2,27,Revelation,14,2
6621,1 Timothy 5:3,15,1 Timothy,5,3
5733,2 Corinthians 5:1,8,2 Corinthians,5,1
7305,1 Peter 4:4,21,1 Peter,4,4
6447,1 Thessalonians 3:2,13,1 Thessalonians,3,2
5020,Romans 9:10,6,Romans,9,10
6751,Titus 1:4,17,Titus,1,4
7511,2 John 1:11,24,2 John,1,11
7510,2 John 1:10,24,2 John,1,10
7345,2 Peter 1:11,22,2 Peter,1,11
6423,1 Thessalonians 1:8,13,1 Thessalonians,1,8
6616,1 Timothy 4:14,15,1 Timothy,4,14
1399,Mark 9:5,2,Mark,9,5
6401,Colossians 4:4,12,Colossians,4,4
7455,1 John 3:21,23,1 John,3,21
5068,Romans 11:4,6,Romans,11,4
3313,John 9:18,4,John,9,18
2572,Luke 18:28,3,Luke,18,28
5255,1 Corinthians 2:6,7,1 Corinthians,2,6
5049,Romans 10:6,6,Romans,10,6
7547,Jude 1:19,26,Jude,1,19
4333,Acts 15:36,5,Acts,15,36
4653,Acts 25:2,5,Acts,25,2
83,Matthew 4:18,1,Matthew,4,18
4078,Acts 9:7,5,Acts,9,7
668,Matthew 20:20,1,Matthew,20,20
7344,2 Peter 1:10,22,2 Peter,1,10
4356,Acts 16:18,5,Acts,16,18
7251,1 Peter 1:22,21,1 Peter,1,22
6713,2 Timothy 3:5,16,2 Timothy,3,5
6451,1 Thessalonians 3:6,13,1 Thessalonians,3,6
6809,Philemon 1:16,18,Philemon,1,16
2116,Luke 8:15,3,Luke,8,15
6059,Galatians 6:16,9,Galatians,6,16
6338,Colossians 1:18,12,Colossians,1,18
6804,Philemon 1:11,18,Philemon,1,11
6808,Philemon 1:15,18,Philemon,1,15
7507,2 John 1:7,24,2 John,1,7
7535,Jude 1:7,26,Jude,1,7
4285,Acts 14:16,5,Acts,14,16
6273,Philippians 2:27,11,Philippians,2,27
1118,Mark 2:2,2,Mark,2,2
7526,3 John 1:13,25,3 John,1,13
7418,1 John 2:13,23,1 John,2,13
7294,1 Peter 3:15,21,1 Peter,3,15
6612,1 Timothy 4:10,15,1 Timothy,4,10
