VF2_CumVerse,VF2_BCV,VF2_BookIndex,VF2_BookName,VF2_Chapter,VF2_Verse
4748,Acts 27:38,5,Acts,27,38
3216,John 7:33,4,John,7,33
6099,Ephesians 2:15,10,Ephesians,2,15
5461,1 Corinthians 11:6,7,1 Corinthians,11,6
7937,Revelation 22:1,27,Revelation,22,1
4781,Acts 28:27,5,Acts,28,27
1005,Matthew 27:20,1,Matthew,27,20
7405,1 John 1:10,23,1 John,1,10
4231,Acts 13:14,5,Acts,13,14
6698,2 Timothy 2:16,16,2 Timothy,2,16
5046,Romans 10:3,6,Romans,10,3
4439,Acts 18:27,5,Acts,18,27
5583,1 Corinthians 15:10,7,1 Corinthians,15,10
2862,Luke 24:15,3,Luke,24,15
6033,Galatians 5:16,9,Galatians,5,16
5563,1 Corinthians 14:30,7,1 Corinthians,14,30
5241,1 Corinthians 1:23,7,1 Corinthians,1,23
2732,Luke 22:12,3,Luke,22,12
4838,Romans 2:21,6,Romans,2,21
1099,Mark 1:28,2,Mark,1,28
58,Matthew 3:10,1,Matthew,3,10
5688,2 Corinthians 2:9,8,2 Corinthians,2,9
111,Matthew 5:21,1,Matthew,5,21
4868,Romans 3:22,6,Romans,3,22
6515,2 Thessalonians 1:11,14,2 Thessalonians,1,11
4129,Acts 10:15,5,Acts,10,15
2506,Luke 16:30,3,Luke,16,30
3471,John 12:36,4,John,12,36
4612,Acts 23:23,5,Acts,23,23
1763,Luke 1:14,3,Luke,1,14
5430,1 Corinthians 10:8,7,1 Corinthians,10,8
1105,Mark 1:34,2,Mark,1,34
1280,Mark 6:17,2,Mark,6,17
7456,1 John 3:22,23,1 John,3,22
1124,Mark 2:8,2,Mark,2,8
7187,James 3:13,20,James,3,13
7131,James 1:10,20,James,1,10
4250,Acts 13:33,5,Acts,13,33
5772,2 Corinthians 7:1,8,2 Corinthians,7,1
2321,Luke 12:6,3,Luke,12,6
7094,Hebrews 12:27,19,Hebrews,12,27
2799,Luke 23:8,3,Luke,23,8
6926,Hebrews 7:7,19,Hebrews,7,7
6467,1 Thessalonians 4:9,13,1 Thessalonians,4,9
1792,Luke 1:43,3,Luke,1,43
665,Matthew 20:17,1,Matthew,20,17
6981,Hebrews 9:21,19,Hebrews,9,21
4774,Acts 28:20,5,Acts,28,20
5503,1 Corinthians 12:14,7,1 Corinthians,12,14
1309,Mark 6:46,2,Mark,6,46
2409,Luke 13:35,3,Luke,13,35
7760,Revelation 12:13,27,Revelation,12,13
1277,Mark 6:14,2,Mark,6,14
2532,Luke 17:25,3,Luke,17,25
435,Matthew 13:40,1,Matthew,13,40
629,Matthew 19:11,1,Matthew,19,11
6179,Ephesians 5:20,10,Ephesians,5,20
7440,1 John 3:6,23,1 John,3,6
2533,Luke 17:26,3,Luke,17,26
1476,Mark 10:32,2,Mark,10,32
5285,1 Corinthians 3:20,7,1 Corinthians,3,20
7894,Revelation 19:21,27,Revelation,19,21
261,Matthew 9:26,1,Matthew,9,26
7445,1 John 3:11,23,1 John,3,11
6044,Galatians 6:1,9,Galatians,6,1
2828,Luke 23:37,3,Luke,23,37
3541,John 14:18,4,John,14,18
5180,Romans 15:22,6,Romans,15,22
4281,Acts 14:12,5,Acts,14,12
3886,Acts 4:9,5,Acts,4,9
3320,John 9:25,4,John,9,25
1725,Mark 15:43,2,Mark,15,43
5350,1 Corinthians 7:8,7,1 Corinthians,7,8
2587,Luke 18:43,3,Luke,18,43
3379,John 11:1,4,John,11,1
2255,Luke 10:36,3,Luke,10,36
7011,Hebrews 10:23,19,Hebrews,10,23
209,Matthew 8:8,1,Matthew,8,8
2384,Luke 13:10,3,Luke,13,10
3421,John 11:43,4,John,11,43
2166,Luke 9:9,3,Luke,9,9
4528,Acts 21:9,5,Acts,21,9
1981,Luke 5:18,3,Luke,5,18
2481,Luke 16:5,3,Luke,16,5
1300,Mark 6:37,2,Mark,6,37
961,Matthew 26:51,1,Matthew,26,51
2555,Luke 18:11,3,Luke,18,11
1374,Mark 8:18,2,Mark,8,18
2961,John 2:11,4,John,2,11
2584,Luke 18:40,3,Luke,18,40
434,Matthew 13:39,1,Matthew,13,39
2707,Luke 21:25,3,Luke,21,25
7323,1 Peter 5:3,21,1 Peter,5,3
4514,Acts 20:33,5,Acts,20,33
3601,John 16:20,4,John,16,20
5977,Galatians 3:20,9,Galatians,3,20
2409,Luke 13:35,3,Luke,13,35
7103,Hebrews 13:7,19,Hebrews,13,7
3927,Acts 5:13,5,Acts,5,13
7823,Revelation 16:13,27,Revelation,16,13
1271,Mark 6:8,2,Mark,6,8
4446,Acts 19:6,5,Acts,19,6
4517,Acts 20:36,5,Acts,20,36
7574,Revelation 2:1,27,Revelation,2,1
5705,2 Corinthians 3:9,8,2 Corinthians,3,9
7332,1 Peter 5:12,21,1 Peter,5,12
7532,Jude 1:4,26,Jude,1,4
3165,John 6:53,4,John,6,53
5756,2 Corinthians 6:3,8,2 Corinthians,6,3
1831,Luke 2:2,3,Luke,2,2
5279,1 Corinthians 3:14,7,1 Corinthians,3,14
4399,Acts 17:21,5,Acts,17,21
1121,Mark 2:5,2,Mark,2,5
1449,Mark 10:5,2,Mark,10,5
7175,James 3:1,20,James,3,1
6859,Hebrews 3:9,19,Hebrews,3,9
3210,John 7:27,4,John,7,27
6948,Hebrews 8:1,19,Hebrews,8,1
1673,Mark 14:63,2,Mark,14,63
7666,Revelation 6:17,27,Revelation,6,17
4733,Acts 27:23,5,Acts,27,23
1977,Luke 5:14,3,Luke,5,14
3875,Acts 3:24,5,Acts,3,24
6563,1 Timothy 1:12,15,1 Timothy,1,12
7502,2 John 1:2,24,2 John,1,2
6573,1 Timothy 2:2,15,1 Timothy,2,2
3618,John 17:4,4,John,17,4
5646,1 Corinthians 16:15,7,1 Corinthians,16,15
1578,Mark 13:5,2,Mark,13,5
3252,John 8:16,4,John,8,16
7701,Revelation 9:5,27,Revelation,9,5
4541,Acts 21:22,5,Acts,21,22
2168,Luke 9:11,3,Luke,9,11
7896,Revelation 20:2,27,Revelation,20,2
7597,Revelation 2:24,27,Revelation,2,24
2108,Luke 8:7,3,Luke,8,7
4446,Acts 19:6,5,Acts,19,6
488,Matthew 14:35,1,Matthew,14,35
5217,Romans 16:26,6,Romans,16,26
7197,James 4:5,20,James,4,5
4691,Acts 26:13,5,Acts,26,13
7526,3 John 1:13,25,3 John,1,13
1833,Luke 2:4,3,Luke,2,4
2790,Luke 22:70,3,Luke,22,70
6027,Galatians 5:10,9,Galatians,5,10
5911,2 Corinthians 13:13,8,2 Corinthians,13,13
7235,1 Peter 1:6,21,1 Peter,1,6
3381,John 11:3,4,John,11,3
5763,2 Corinthians 6:10,8,2 Corinthians,6,10
6822,Hebrews 1:4,19,Hebrews,1,4
1042,Matthew 27:57,1,Matthew,27,57
4155,Acts 10:41,5,Acts,10,41
915,Matthew 26:5,1,Matthew,26,5
651,Matthew 20:3,1,Matthew,20,3
5248,1 Corinthians 1:30,7,1 Corinthians,1,30
1582,Mark 13:9,2,Mark,13,9
7461,1 John 4:3,23,1 John,4,3
3484,John 12:49,4,John,12,49
5498,1 Corinthians 12:9,7,1 Corinthians,12,9
5089,Romans 11:25,6,Romans,11,25
5674,2 Corinthians 1:19,8,2 Corinthians,1,19
1842,Luke 2:13,3,Luke,2,13
4021,Acts 7:50,5,Acts,7,50
1843,Luke 2:14,3,Luke,2,14
7452,1 John 3:18,23,1 John,3,18
4970,Romans 7:24,6,Romans,7,24
6081,Ephesians 1:20,10,Ephesians,1,20
6872,Hebrews 4:3,19,Hebrews,4,3
6445,1 Thessalonians 2:20,13,1 Thessalonians,2,20
2849,Luke 24:2,3,Luke,24,2
5689,2 Corinthians 2:10,8,2 Corinthians,2,10
1838,Luke 2:9,3,Luke,2,9
4830,Romans 2:13,6,Romans,2,13
5195,Romans 16:4,6,Romans,16,4
7165,James 2:17,20,James,2,17
7026,Hebrews 10:38,19,Hebrews,10,38
3439,John 12:4,4,John,12,4
4568,Acts 22:9,5,Acts,22,9
4393,Acts 17:15,5,Acts,17,15
3157,John 6:45,4,John,6,45
1940,Luke 4:21,3,Luke,4,21
7730,Revelation 11:2,27,Revelation,11,2
5574,1 Corinthians 15:1,7,1 Corinthians,15,1
2469,Luke 15:25,3,Luke,15,25
1659,Mark 14:49,2,Mark,14,49
1697,Mark 15:15,2,Mark,15,15
7651,Revelation 6:2,27,Revelation,6,2
445,Matthew 13:50,1,Matthew,13,50
6499,1 Thessalonians 5:23,13,1 Thessalonians,5,23
5740,2 Corinthians 5:8,8,2 Corinthians,5,8
2731,Luke 22:11,3,Luke,22,11
7034,Hebrews 11:7,19,Hebrews,11,7
3899,Acts 4:22,5,Acts,4,22
574,Matthew 17:18,1,Matthew,17,18
7442,1 John 3:8,23,1 John,3,8
1415,Mark 9:21,2,Mark,9,21
5107,Romans 12:7,6,Romans,12,7
4630,Acts 24:6,5,Acts,24,6
2290,Luke 11:29,3,Luke,11,29
5765,2 Corinthians 6:12,8,2 Corinthians,6,12
2823,Luke 23:32,3,Luke,23,32
5748,2 Corinthians 5:16,8,2 Corinthians,5,16
1672,Mark 14:62,2,Mark,14,62
3531,John 14:8,4,John,14,8
1553,Mark 12:24,2,Mark,12,24
6725,2 Timothy 3:17,16,2 Timothy,3,17
382,Matthew 12:37,1,Matthew,12,37
313,Matthew 10:40,1,Matthew,10,40
5008,Romans 8:37,6,Romans,8,37
7473,1 John 4:15,23,1 John,4,15
2886,Luke 24:39,3,Luke,24,39
2442,Luke 14:33,3,Luke,14,33
5656,2 Corinthians 1:1,8,2 Corinthians,1,1
2095,Luke 7:44,3,Luke,7,44
6980,Hebrews 9:20,19,Hebrews,9,20
7145,James 1:24,20,James,1,24
3833,Acts 2:29,5,Acts,2,29
4178,Acts 11:16,5,Acts,11,16
3938,Acts 5:24,5,Acts,5,24
3964,Acts 6:8,5,Acts,6,8
5528,1 Corinthians 13:8,7,1 Corinthians,13,8
5825,2 Corinthians 9:14,8,2 Corinthians,9,14
6851,Hebrews 3:1,19,Hebrews,3,1
230,Matthew 8:29,1,Matthew,8,29
7018,Hebrews 10:30,19,Hebrews,10,30
5457,1 Corinthians 11:2,7,1 Corinthians,11,2
3526,John 14:3,4,John,14,3
3793,Acts 1:15,5,Acts,1,15
2271,Luke 11:10,3,Luke,11,10
1414,Mark 9:20,2,Mark,9,20
7587,Revelation 2:14,27,Revelation,2,14
750,Matthew 22:22,1,Matthew,22,22
2938,John 1:39,4,John,1,39
5726,2 Corinthians 4:12,8,2 Corinthians,4,12
3109,John 5:44,4,John,5,44
2030,Luke 6:28,3,Luke,6,28
998,Matthew 27:13,1,Matthew,27,13
3331,John 9:36,4,John,9,36
203,Matthew 8:2,1,Matthew,8,2
1243,Mark 5:23,2,Mark,5,23
1861,Luke 2:32,3,Luke,2,32
4075,Acts 9:4,5,Acts,9,4
6822,Hebrews 1:4,19,Hebrews,1,4
6499,1 Thessalonians 5:23,13,1 Thessalonians,5,23
2791,Luke 22:71,3,Luke,22,71
1135,Mark 2:19,2,Mark,2,19
3065,John 4:54,4,John,4,54
3291,John 8:55,4,John,8,55
4120,Acts 10:6,5,Acts,10,6
129,Matthew 5:39,1,Matthew,5,39
73,Matthew 4:8,1,Matthew,4,8
43,Matthew 2:18,1,Matthew,2,18
770,Matthew 22:42,1,Matthew,22,42
1277,Mark 6:14,2,Mark,6,14
4499,Acts 20:18,5,Acts,20,18
434,Matthew 13:39,1,Matthew,13,39
2035,Luke 6:33,3,Luke,6,33
7420,1 John 2:15,23,1 John,2,15
6470,1 Thessalonians 4:12,13,1 Thessalonians,4,12
4765,Acts 28:11,5,Acts,28,11
5970,Galatians 3:13,9,Galatians,3,13
2196,Luke 9:39,3,Luke,9,39
1678,Mark 14:68,2,Mark,14,68
2195,Luke 9:38,3,Luke,9,38
491,Matthew 15:2,1,Matthew,15,2
2685,Luke 21:3,3,Luke,21,3
5037,Romans 9:27,6,Romans,9,27
503,Matthew 15:14,1,Matthew,15,14
1287,Mark 6:24,2,Mark,6,24
1243,Mark 5:23,2,Mark,5,23
5298,1 Corinthians 4:10,7,1 Corinthians,4,10
1885,Luke 3:4,3,Luke,3,4
4760,Acts 28:6,5,Acts,28,6
2223,Luke 10:4,3,Luke,10,4
1265,Mark 6:2,2,Mark,6,2
4183,Acts 11:21,5,Acts,11,21
4130,Acts 10:16,5,Acts,10,16
6782,Titus 3:4,17,Titus,3,4
953,Matthew 26:43,1,Matthew,26,43
5666,2 Corinthians 1:11,8,2 Corinthians,1,11
129,Matthew 5:39,1,Matthew,5,39
1025,Matthew 27:40,1,Matthew,27,40
7661,Revelation 6:12,27,Revelation,6,12
7892,Revelation 19:19,27,Revelation,19,19
4607,Acts 23:18,5,Acts,23,18
2320,Luke 12:5,3,Luke,12,5
1337,Mark 7:18,2,Mark,7,18
5615,1 Corinthians 15:42,7,1 Corinthians,15,42
1071,Matthew 28:20,1,Matthew,28,20
4387,Acts 17:9,5,Acts,17,9
5442,1 Corinthians 10:20,7,1 Corinthians,10,20
6205,Ephesians 6:13,10,Ephesians,6,13
3658,John 18:18,4,John,18,18
4016,Acts 7:45,5,Acts,7,45
1083,Mark 1:12,2,Mark,1,12
4089,Acts 9:18,5,Acts,9,18
1417,Mark 9:23,2,Mark,9,23
6887,Hebrews 5:2,19,Hebrews,5,2
6369,Colossians 2:20,12,Colossians,2,20
6668,2 Timothy 1:4,16,2 Timothy,1,4
787,Matthew 23:13,1,Matthew,23,13
2916,John 1:17,4,John,1,17
1500,Mark 11:4,2,Mark,11,4
2094,Luke 7:43,3,Luke,7,43
1503,Mark 11:7,2,Mark,11,7
2488,Luke 16:12,3,Luke,16,12
6511,2 Thessalonians 1:7,14,2 Thessalonians,1,7
3956,Acts 5:42,5,Acts,5,42
6979,Hebrews 9:19,19,Hebrews,9,19
4092,Acts 9:21,5,Acts,9,21
3789,Acts 1:11,5,Acts,1,11
7245,1 Peter 1:16,21,1 Peter,1,16
7127,James 1:6,20,James,1,6
4535,Acts 21:16,5,Acts,21,16
3545,John 14:22,4,John,14,22
2439,Luke 14:30,3,Luke,14,30
6035,Galatians 5:18,9,Galatians,5,18
233,Matthew 8:32,1,Matthew,8,32
7513,2 John 1:13,24,2 John,1,13
4061,Acts 8:30,5,Acts,8,30
4979,Romans 8:8,6,Romans,8,8
4774,Acts 28:20,5,Acts,28,20
174,Matthew 7:2,1,Matthew,7,2
7794,Revelation 14:12,27,Revelation,14,12
6660,1 Timothy 6:17,15,1 Timothy,6,17
5342,1 Corinthians 6:20,7,1 Corinthians,6,20
1003,Matthew 27:18,1,Matthew,27,18
3507,John 13:22,4,John,13,22
4964,Romans 7:18,6,Romans,7,18
2586,Luke 18:42,3,Luke,18,42
6131,Ephesians 4:4,10,Ephesians,4,4
1944,Luke 4:25,3,Luke,4,25
2168,Luke 9:11,3,Luke,9,11
1489,Mark 10:45,2,Mark,10,45
2539,Luke 17:32,3,Luke,17,32
7899,Revelation 20:5,27,Revelation,20,5
6580,1 Timothy 2:9,15,1 Timothy,2,9
823,Matthew 24:10,1,Matthew,24,10
4438,Acts 18:26,5,Acts,18,26
6224,Philippians 1:8,11,Philippians,1,8
3835,Acts 2:31,5,Acts,2,31
807,Matthew 23:33,1,Matthew,23,33
7204,James 4:12,20,James,4,12
2357,Luke 12:42,3,Luke,12,42
5951,Galatians 2:15,9,Galatians,2,15
3153,John 6:41,4,John,6,41
5661,2 Corinthians 1:6,8,2 Corinthians,1,6
4964,Romans 7:18,6,Romans,7,18
5534,1 Corinthians 14:1,7,1 Corinthians,14,1
2667,Luke 20:32,3,Luke,20,32
4012,Acts 7:41,5,Acts,7,41
7450,1 John 3:16,23,1 John,3,16
5149,Romans 14:14,6,Romans,14,14
1325,Mark 7:6,2,Mark,7,6
118,Matthew 5:28,1,Matthew,5,28
4016,Acts 7:45,5,Acts,7,45
6506,2 Thessalonians 1:2,14,2 Thessalonians,1,2
5150,Romans 14:15,6,Romans,14,15
2845,Luke 23:54,3,Luke,23,54
6507,2 Thessalonians 1:3,14,2 Thessalonians,1,3
6951,Hebrews 8:4,19,Hebrews,8,4
1514,Mark 11:18,2,Mark,11,18
1691,Mark 15:9,2,Mark,15,9
2284,Luke 11:23,3,Luke,11,23
2220,Luke 10:1,3,Luke,10,1
7953,Revelation 22:17,27,Revelation,22,17
3206,John 7:23,4,John,7,23
2327,Luke 12:12,3,Luke,12,12
1364,Mark 8:8,2,Mark,8,8
5419,1 Corinthians 9:24,7,1 Corinthians,9,24
4155,Acts 10:41,5,Acts,10,41
2678,Luke 20:43,3,Luke,20,43
1205,Mark 4:26,2,Mark,4,26
4673,Acts 25:22,5,Acts,25,22
5799,2 Corinthians 8:12,8,2 Corinthians,8,12
851,Matthew 24:38,1,Matthew,24,38
641,Matthew 19:23,1,Matthew,19,23
6329,Colossians 1:9,12,Colossians,1,9
203,Matthew 8:2,1,Matthew,8,2
7141,James 1:20,20,James,1,20
4078,Acts 9:7,5,Acts,9,7
1955,Luke 4:36,3,Luke,4,36
502,Matthew 15:13,1,Matthew,15,13
4333,Acts 15:36,5,Acts,15,36
3284,John 8:48,4,John,8,48
3797,Acts 1:19,5,Acts,1,19
3795,Acts 1:17,5,Acts,1,17
6129,Ephesians 4:2,10,Ephesians,4,2
4099,Acts 9:28,5,Acts,9,28
4703,Acts 26:25,5,Acts,26,25
2153,Luke 8:52,3,Luke,8,52
1532,Mark 12:3,2,Mark,12,3
3740,John 20:18,4,John,20,18
5115,Romans 12:15,6,Romans,12,15
2935,John 1:36,4,John,1,36
2381,Luke 13:7,3,Luke,13,7
3675,John 18:35,4,John,18,35
7350,2 Peter 1:16,22,2 Peter,1,16
2317,Luke 12:2,3,Luke,12,2
3715,John 19:35,4,John,19,35
431,Matthew 13:36,1,Matthew,13,36
1,Matthew 1:1,1,Matthew,1,1
1711,Mark 15:29,2,Mark,15,29
6713,2 Timothy 3:5,16,2 Timothy,3,5
3342,John 10:6,4,John,10,6
2404,Luke 13:30,3,Luke,13,30
1048,Matthew 27:63,1,Matthew,27,63
1082,Mark 1:11,2,Mark,1,11
7572,Revelation 1:19,27,Revelation,1,19
5778,2 Corinthians 7:7,8,2 Corinthians,7,7
1506,Mark 11:10,2,Mark,11,10
6041,Galatians 5:24,9,Galatians,5,24
1348,Mark 7:29,2,Mark,7,29
2326,Luke 12:11,3,Luke,12,11
1814,Luke 1:65,3,Luke,1,65
5029,Romans 9:19,6,Romans,9,19
7771,Revelation 13:7,27,Revelation,13,7
1073,Mark 1:2,2,Mark,1,2
2599,Luke 19:12,3,Luke,19,12
6365,Colossians 2:16,12,Colossians,2,16
6306,Philippians 4:9,11,Philippians,4,9
1150,Mark 3:6,2,Mark,3,6
4157,Acts 10:43,5,Acts,10,43
366,Matthew 12:21,1,Matthew,12,21
4131,Acts 10:17,5,Acts,10,17
846,Matthew 24:33,1,Matthew,24,33
3502,John 13:17,4,John,13,17
1629,Mark 14:19,2,Mark,14,19
3047,John 4:36,4,John,4,36
7906,Revelation 20:12,27,Revelation,20,12
1199,Mark 4:20,2,Mark,4,20
4174,Acts 11:12,5,Acts,11,12
550,Matthew 16:22,1,Matthew,16,22
3728,John 20:6,4,John,20,6
6842,Hebrews 2:10,19,Hebrews,2,10
2048,Luke 6:46,3,Luke,6,46
6415,Colossians 4:18,12,Colossians,4,18
6881,Hebrews 4:12,19,Hebrews,4,12
692,Matthew 21:10,1,Matthew,21,10
7912,Revelation 21:3,27,Revelation,21,3
6328,Colossians 1:8,12,Colossians,1,8
4210,Acts 12:18,5,Acts,12,18
1675,Mark 14:65,2,Mark,14,65
7401,1 John 1:6,23,1 John,1,6
7543,Jude 1:15,26,Jude,1,15
997,Matthew 27:12,1,Matthew,27,12
4175,Acts 11:13,5,Acts,11,13
4662,Acts 25:11,5,Acts,25,11
3053,John 4:42,4,John,4,42
4509,Acts 20:28,5,Acts,20,28
1073,Mark 1:2,2,Mark,1,2
3276,John 8:40,4,John,8,40
6635,1 Timothy 5:17,15,1 Timothy,5,17
5366,1 Corinthians 7:24,7,1 Corinthians,7,24
6220,Philippians 1:4,11,Philippians,1,4
7580,Revelation 2:7,27,Revelation,2,7
1604,Mark 13:31,2,Mark,13,31
2198,Luke 9:41,3,Luke,9,41
1075,Mark 1:4,2,Mark,1,4
2611,Luke 19:24,3,Luke,19,24
5483,1 Corinthians 11:28,7,1 Corinthians,11,28
973,Matthew 26:63,1,Matthew,26,63
1423,Mark 9:29,2,Mark,9,29
1876,Luke 2:47,3,Luke,2,47
3009,John 3:34,4,John,3,34
2389,Luke 13:15,3,Luke,13,15
602,Matthew 18:19,1,Matthew,18,19
4307,Acts 15:10,5,Acts,15,10
4667,Acts 25:16,5,Acts,25,16
4242,Acts 13:25,5,Acts,13,25
4860,Romans 3:14,6,Romans,3,14
1128,Mark 2:12,2,Mark,2,12
7279,1 Peter 2:25,21,1 Peter,2,25
6331,Colossians 1:11,12,Colossians,1,11
3238,John 8:2,4,John,8,2
6469,1 Thessalonians 4:11,13,1 Thessalonians,4,11
7170,James 2:22,20,James,2,22
974,Matthew 26:64,1,Matthew,26,64
2090,Luke 7:39,3,Luke,7,39
